urn	text	simile	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.16	αζομενοι Διος υιον	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.16	ινα μη δοκοιεν εμπορον ειναι τον θεον παρεισαγει αξιουντα αυτους δεξασθαι· δια δε του εκηβολον εις μνημην αξων των τοξων εκφοβει αυτους ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.33	μη σε γερον κοιλῃσι	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.33	μετα σπουδης ο Αγαμεμνων απελαυνει τον Χρυσην ειδως οτι παρων δυσωπει τους Ελληνας , και ου τουτο δε λεγει οτι γηρασασαν αυτην , τοτε αποδωσει· αλλ' οτι προτερον γηρασει η εκεινῳ αποδοθησεται ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.34	μη νυ τοι ου χραισμη	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.34	κατ ολιγων αυξων τα της διαστασεως λυπει τον γεροντα· εστι γαρ ως που το περι αυτου επιγραφον γραμμα δηλουν· βασι βασιλευς γαρ αγαθος κρατερος τ' αιχμητης · δι ο παρα μεν των υπηκοων υβριζεται· τοις δε πολεμιοις λιαν εστιν απηνης ως Αδραστῳ και τοις Αντιμαχου παισιν .	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.35	την δ' εγω ου λυσω	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.35	αθετουνται οτι αναλυουσι την επιτασιν του νου και την απειλην ησμενισε γαρ και ο Χρυσης ειπουσης αυτης τῳ βασιλει· απρεπες δε και το τον Αγαμεμνονα τοιαυτα λεγειν ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.36	μη νυ τοι ου χραισμη	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.36	αναιρει την ελπιδα και εστι νειποτε και αυτος ο θεος ουκ ανεξομενος της σης αναιδειας περιοψεται σε η ως πορθουμενον περιειδε παντως και φονευομενον ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.37	Κιλλαν τε ζαθεην	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.37	Πελοψ ο Τανταλου κατω μισθον παιδικης ωρας λαβων παρα Ποσειδωνος ιππους αδαμαστους συν τῳ οχηματι εσπευσεν εις Πισαν της Λεσβου επι τον Ιπποδαμειας γαμον τον μνηστηροκτονον αυτης πατερα Οινομαον καταγωνισασθαι επιθυμων γενομενῳ δε αυτῳ περι Λεσβον , Κιλλος ηνιοχος τελευτᾳ τον βιον ος και καθ υπνον επιστας τῳ Πελοπι σφοδρα οδυνηρως επ αυτῳ εχοντι απωδυρετο τε την εαυτου απωλειαν και περι κηδειας ηξιου διοπερ αναστας εξερυπαρου το ειδωλον δια πυρος , ειθ' ουτως εθαψε την τεφραν επιφανως του Κιλλου ιριον επ αυτο εγειρας και προς τῳ ιριῳ αυτου εδειματο ιερον Κιλλεου Απολλωνος προσαγορευσας δια το αιφνιδιως τον Κιλλον αποθανειν , ου μην αλλα και πολιν κτισας Κιλλαν ωνομασεν· ο μεντοι Κιλλος και μετα θανατον τῳ Πελοπι δοκει συλλαβεσθαι οπως περιγενηται του Οινομαου περι τον δρομον , η ιστορια παρα Θεοπομπω ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.38	Τενεδοιο τε	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.38	και της Τενεδου · η δε Τενεδος εστι νησος προ της Τροιας κειμεενη ουπω δε προτερον τουτο ειχεν ονο  · και γαρ ουδε Κυκνω του Ποσειδωνος Τεννης ην και Λευκοθεα · Λευκοφρυν δε αυτην οι πριν ωνομαζον· επειδη δε αρα τῳ Κυκνῳ εγεννηθη ο Τεννης και η Λευκοθεα η μεν μητηρ αυτων ουκετι ην· επεγημεν δ' ο Κυκνος Φυλονομην η ως εννιοι Πολυβοιαν , η Φυλονομη και γαρ εις ανδρας ετελει ηδη ο Τεννης ερασθεισα αυτου λογους περι συνουσιας ηνεγκατο προς αυτον· του δε πρως την φυσιν δικαιως , τηρησαντ' κατηγορησατο προς τον πατερα αυτου οτι εθεληκοι αυτην βιασασθαι· ο δε πιστευσας τῃ κατηγοριᾳ συλλαβων τον παιδα ενεβαλεν εις λαρνακα και ερριψεν εις την υποκειμενην θαλασσαν , ον δια σωφροσυνην και δια το ειναι οιωνον εσωσεν ο Ποσειδων · την γαρ λαρνακα προσενεχθηναι τῃ Λευκοφρυϊ νησῳ εποιησεν ην θεασαμενοι και αφελοντες το επιθημα μαθοντες τε το γεγονος , ου μονον εαυτον βασιλεα κατεστησαντο , αλλα και απ αυτου Τενεδον την νησον προσηγορευσαν ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.39	Σμινθευ	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.39	επιθετον Απολλωνος · Σμινθος γαρ τοπος της Τρῳαδος εν ῳ ϊερον Απολλωνος απο αιτιας τησδε εν Χρυσῃ πολει της Μυσιας Κρινις τις ιερευς του κειθι Απολλωνος τουτου οργισθεις ο θεος επεμψε τοις αγροις μυιας οιτινες τους καρπους ελυμαινοντο· βουληθεις δε ποτε ο θεος αυτῳ καταλλαγηναι προς Ορδην τον αρχιβουκολον αυτου παρεγενετο· παρ ῳ ξενισθεις ο θεος υπεσχετο το κακονως απαλλαξειν· και δη παραχρημα τοξευσας τους μυς , διεεφθειρεν απαλλασομενος ουν ενετειλατο την επιφανιαν αυτουην δηλωσαι τῳ Κρινιδι . ου γενομενου ο Κρινις ιερον ιδρυσατο τῳ θεῳ Σμινθεα αυτον προσαγορευσας , επειδη κατα την εγχωριον αυτων διαλεκτον οι μυυες σμινθιοι καλουνται η ιστορια παρα Πολεμωνι ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.40	αλλοι δε ουτ	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.40	οτι Κρητες αποικιαν στελλοντες χρησμον ελαβον παρα του Απολλωνος οπου αυτοις εναντιωθωσι γιγενεισ· ελεγεν δε περι μυων εκει κτισαι την πολιν· οι δε απελαισαν τους αποικουσ· ελθοντες δε εις τον Ελλησποντον , και της νυκτος επιγενομεενης μυες εκοψαν αυτων τους τελαμωνας των οπλων· πρω  δε ανασταντες και θεασαμενοι του  σοφισαμενοι τε καθ εαυτους εκτισαν εκει πο  ητινα εκαλεσαν Σμινθιαν · οι γαρ Κρητες τους μυας σμινθους καλουσιν εκ τουτου και Απολλων Σμινθιος , δια το υπερασπιζειν αυτης ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.41	ερεψα	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.41	παρα το ερεφω οθεν και Ειραφιωτης ο Διονυσος λεγεται· εστεφετο γαρ κισσῳ η απο του ερραφθαι αυτον τῳ μηρῳ του Διος η παρα το εριφῳ αυτον συνανατραφηναι· η παρα το εριῳ αυτον πλεκεσθαι ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.42	Δαναοι	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.42	Ελληνες ουτωσ· Βηλος ο Αγηνορος μεν αδε  υιος δε Ποσειδωνος και Λιβυης αφ ης η χωρα ωνομασται Λιβυη βασιλευων Αιγυπτιων γαμει Αγχινοην την Νηλου θυγατερα και αυτῳ γινονται παιδες διδυμοι Αιγυπτος και Δαναος και Δαναον μεν Βηλου Λιβυῃ κατοικιζει Αιγυπτον δε εν Αραβιᾳ · ος καταστρεψαμενος την των Μελαμποδιδων χωραν αφ εαυτου ωνομα  Αιγυπτον · γινονται δε εκ πολλων γυναικων Αιγυπτῳ μεν μ παιδεσ· Δαναῳ δε θυγατερες ν . στασιασαντων δε αυτων προς αλληλους περι της αρχης , υστερον Δαναος τους του Αιγυπτου παιδας δεδοικως , καθοτι και εκ χρησμου ηκηκοει οτι φονευθησεται υφ ενος αυτων και υποθεμενης Αθηνας αυτῳ ναυν πρωτος κατεσκευασεν την κλιθεισαν ως απο του αριθμου των θυγατερων αυτου πεντηκοντωρον εν η τας κορας ενθεμενος εφυγεν· προσχων δε Ροδῳ το της Λινδιας Αθηνας αγαλμα ῾ϊδρυσατο εντευθεν δε ηκεν εις Αργος και την βασιλειαν αυτῳ παραδιδωσιν Ελλανωρ ο τοτε βασιλευων· αυτος δε κρατησας της χωρας αφ εαυτου τους ενοικουντας Δαναους ωνομασεν ιστορει Απολλοδωρος εν β ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.43	ουρηας μεν πρωτον	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.43	ουρηες λεγονται δια το αγονον και ουρια ωα καλουμεν· ευπαθη δε τα ζωα ταυτα και ευαλωτα υπο νοσων , συμμικτος γαρ , η φυσις αυτων και εκ διαφεροντων τοις ειδεσιν , ου μεγαλης εις τον φθειραι δειται αναγκης ουδε αντεχει μεχρι πολλου βλαπτομενη· οι δε κυνες καθαρου δεονται του αερος οξυτερα τῃ οσφρησει χρωμενοι· αργους δε ακουστεον τους λευκους οτι ασθενεστερα εστι τα τοι αυτα σωματα των εναντιως εχοντων αραιοτερα οντα ευπαθεστερα εισιν ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.61	αυταρ επειτ αυτοισι βελος	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.61	διαφερει ο αυταρ του δε οτι ο μεν προτασσεται· ο δε υποτασσεται· ο μεν αυταρ προτασσεται· ο δε δε υποτασσεται·	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.62	εχεπευκες	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.62	εχων πικριαν απο της πευκης η μεταφορα· και γαρ η πευκη κοπεισα ουκ ανιησι βλαστον , και το δακρυον αυτης εστι πικρον ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.63	θαμειαι	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.63	πως φησιν ο ποιητης εναντια εαυτω λεγει προειπων γαρ αυτους δε ελωρια τευχε κυνεσσιν · νυν επαγει αιει δε πυραι νεκυων . ερουμεν δε οτι ο λοιμος ηυξε· την μηνιν η μηνις δε τας μετα ταυτα μαχασ· και οι εν ταυταις πιπτοντες ελωρια κυνων εγινοντο· οι δε απο του λοιμου φθειρομενοι εκαιοντο ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.64	εννημαρ	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.64	εχρην το εννημαρ προπαροξυνειν ως παρ ουδετερον συγκειμενον αλλ' ο τονος παρηλλαγη επει και ξενη η συνθεσισ· ουδεν γαρ των εις αρ συνετεθη ουδετερων ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.65	τοισι δ ανισταμενος	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.65	το γαρ παλαιον καν βασιλευς ην καν αλλης οιασδηποτε τυχης λαμπρας εδημηγορει δε , ορθως ιστατο ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.66	παλιμπλαγχθεντας	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.66	εις τουπισω πλανηθεντας απελθειν ματην επανακαμψειν εις τα οικεια εαν περ δει ολως τον θανατον υπεκφυγοιμεν ουκ εκ ρηματος δε η συνθ  της μετοχ  αλλα συντεθειται δια το αψ απονοστησειν ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.67	‡ Ατρειδη , νυν αμμε παλιμπλαχθεντας	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.67	οι νεωτεροι ποιηται εντευθεν σημειουνται ιστορουντες τα περι Μυσιαν τον τροπον τουτον , εν Τροια πλεοντες οι Ελληνες . Μυσια προσισχουσιν και αγνοουντες αυτην επορθουν Τροιαν ειναι νομιζοντεσ· Τηλεφος δε ο Ηρακλεους και Αυγης της Αλεου παις βασιλευων Μυσων και ιδων την χωραν λεηλατουμενην τους Μυσους καθοπλισας επι τας ναυς τους Ελληνας συνδιωξας , πολλους απεκτεινεν· ορμησαντος δε επ αυτον Αχιλλεως ου μεινας εδιωκετο· εν δε τῳ τρεχειν εμπλακεις αμπεχου κληματι , τον μηρον τιτρωσκεται νεμεσησαντος αυτῳ Διονυσου οτι αρα υπο τουτου των τιμων αφῃρητο· οι δε Ελληνες υπεστρεψαν εις το Αργος · Τηλεφος δε ανιατον εχων το τραυ  ει· ποντος θεου μη δυνασθαι αυτον θεραπευσαι η τον τρωσαντα , ηλθεν εις Αργος και πιστιν δους μη επικουρησειν Τρωσιν εθεραπευθη υπ' Αχιλλεως και αυτος εδειξς τον επι Τροιαν πλουν , ταυτα οι νεωτεροι ο δε ποιητης λεγει Καλχαντα αφηγησασθαι τον επι Ιλιον πλουν	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.68	Ατρειδη νυν αμμε ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.68	μετα το Ατρειδη δει στιζειν επει αι προσαγορευτικαι των περιοδων αυτοτελεις εισιν ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.69	αλλ αγε δη τινα μαντιν	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.69	η διπλη οτι μαντις γενικως ιερευς δε και οιωνοπ  ειδικως ειδη μαντεων· Ζηνοδ  δε ηθετηκεν αυτον μηποτε δε ονειροκριτην υπειληφεν ουκ ορθως .	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.70	μεχρι του ερειομεν διασταλτεον ειτα η ιερηα η και ονειροπολον ινα γενικον μεν η το μαντιν· ειδη δε τα επιφερομενα· ουτως Ηρωδιανος · και ο Νικανωρ δε ουτως λεγει ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.71	εστι γενος τι η μαντικη διαιπουμενον εις ειδη τρια εις οιωνοσκοπιαν· εις αεροσκοπ  και την δια την των ονειρατων ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.72	Ηρῳδιανος τελειαν διδωσι και κοινον το μαντιν · ο δε Πορφυριος τον δη οιωνον σημειων η τερατων μαντευομενον· ονειροπολον δε τον ονειροκριτην ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.73	και γαρ τ' οναρ	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.73	του τι εστιν συναλιφη και γαρ τι οναρ ου γαρ παντα λεγει αληθη επει φησιν ου παντας ειναι τους ονειρους αληθεισ· οι μεν γαρ κεραεσσι τετευχαται· αι δε λεφαντι ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.74	ει ταρ	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.74	ουτως οξεια εις τον ει το γαρ ταρ εστιν εγκλιτικος συνδ  επιφερομενος και ου δει αποστροφον βαλλειν εις το τ · ου γαρ εστιν ο τε συνδεσμος επεφερετο γαρ αν ετερος τε ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.75	αι κεν πως αρνων κνισης	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.75	Αρισταρχος το κνισης ενικως κατα γενικην πτωσιν ανευ του ϊ ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.76	ημιν απο λοιγον αμυναι	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.76	το εξης εστιν απαμυναι δι ο φυλαττει τον ιδιον τονον· οταν γαρ προθεσις την συνταξιν εχη προς το επιφερομενον τον ιδιον τονον φυλασσει ατε δη επεχουσα την ταξιν· εις δε το αι κεν περισσος ο κεν ινα ῃ αντι του ει πως ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.77	η τοι ο γ' ως ειπων	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.77	οτι Ζηνοδ  γραφει εκαθεζετο · ουκ εα δε ελληνιζειν τον Ομηρον ωσπερ γαρ ουδ  λεγει εκατεβαινεν· ουτως ουδε εκαθεζετο ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.78	Καλχας Θεστοριδ	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.78	οτι Ζηνοδοτ  γραφει μαντις Θεστοριδης . ου δυναται δε τῳ γενει το ειδος αμα συγκατατιθεσθαι ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.79	και νηεσσ' ηγησατ' Αχαιων ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.79	οτι αντι του νεων και οτι Καλχας ηγησατο τοις Ελλησι και ουχι Τηλεφος ως τινες νεωτεροι· και το εισω αντι του εις ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.80	ω Αχιλευ κελεαι με ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.80	και τῳ βασιλει απολογειται ως αναγκαζομενος υπο Αχιλλεως και τῳ πληθει . ως δεει του βασιλεως μη προειπων ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.81	‡αιει δε πυραι νεκυων	0	diple
